sampleID,lakeID,treatment,replicate,CH4prod,CO2prod
pH20_CN_A1_S93_L001,CN,acidic,1,-5.572170006,-0.565130156
pH20_CN_A2_S77_L001,CN,acidic,2,-0.188647292,0.579520054
pH20_CN_A3_S33_L001,CN,acidic,3,0,1.20822989
pH20_CN_A4_S45_L001,CN,acidic,4,-0.385493379,1.754745371
pH20_CN_N1_S43_L001,CN,neutral,1,0,2.55314407
pH20_CN_N2_S14_L001,CN,neutral,2,0,1.86152401
pH20_CN_N3_S103_L001,CN,neutral,3,0,2.207761812
pH20_CN_N4_S94_L001,CN,neutral,4,0,2.099223093
pH20_RP_A1_S10_L001,RP,acidic,1,39.86522276,58.42014647
pH20_RP_A2_S135_L001,RP,acidic,2,51.75330331,65.12404079
pH20_RP_A3_S80_L001,RP,acidic,3,35.56493681,56.10630389
pH20_RP_A4_S84_L001,RP,acidic,4,32.78845633,49.12902234
pH20_RP_N1_S105_L001,RP,neutral,1,27.81112128,51.09572
pH20_RP_N2_S72_L001,RP,neutral,2,32.74335416,47.31994682
pH20_RP_N3_S118_L001,RP,neutral,3,31.32957541,50.12159699
pH20_RP_N4_S97_L001,RP,neutral,4,25.77559982,43.76942372
pH20_PR_A1_S13_L001,PR,acidic,1,21.79220428,40.80686486
pH20_PR_A2_S16_L001,PR,acidic,2,44.77024389,54.17192998
pH20_PR_A3_S83_L001,PR,acidic,3,82.0377153,55.66988546
pH20_PR_A4_S128_L001,PR,acidic,4,29.14513656,41.98816245
pH20_PR_N1_S27_L001,PR,neutral,1,35.48289945,48.63142403
pH20_PR_N2_S1_L001,PR,neutral,2,26.05877035,42.21365865
pH20_PR_N3_S107_L001,PR,neutral,3,37.2315138,50.55758085
pH20_PR_N4_S71_L001,PR,neutral,4,24.92975838,37.80908254
pH20_TF_A1_S134_L001,TF,acidic,1,41.36390246,58.73160894
pH20_TF_A2_S58_L001,TF,acidic,2,32.53611322,41.9210817
pH20_TF_A3_S90_L001,TF,acidic,3,46.93733761,57.14617424
pH20_TF_A4_S98_L001,TF,acidic,4,55.66776948,54.67488518
pH20_TF_N1_S23_L001,TF,neutral,1,35.9090443,49.59415306
pH20_TF_N2_S126_L001,TF,neutral,2,38.52500777,45.0678996
pH20_TF_N3_S119_L001,TF,neutral,3,26.09688422,41.61169329
pH20_TF_N4_S99_L001,TF,neutral,4,26.8073446,43.70203351
pH20_WA_A1_S18_L001,WA,acidic,1,33.33243221,48.90597298
pH20_WA_A2_S15_L001,WA,acidic,2,33.85755238,49.58933128
pH20_WA_A3_S4_L001,WA,acidic,3,32.24932419,48.86506046
pH20_WA_A4_S48_L001,WA,acidic,4,33.09957469,53.07373028
pH20_WA_N1_S28_L001,WA,neutral,1,31.37478091,50.00794303
pH20_WA_N2_S44_L001,WA,neutral,2,28.39619001,50.00494948
pH20_WA_N3_S70_L001,WA,neutral,3,25.56472833,50.32768492
pH20_WA_N4_S17_L001,WA,neutral,4,36.82676606,50.68274341
pH20_MI_A1_S76_L001,MI,acidic,1,29.41734721,45.3773377
pH20_MI_A2_S60_L001,MI,acidic,2,30.0529318,48.03583522
pH20_MI_A3_S25_L001,MI,acidic,3,23.38309024,35.41526309
pH20_MI_A4_S19_L001,MI,acidic,4,23.41598064,45.99070785
pH20_MI_N1_S86_L001,MI,neutral,1,28.63595638,45.02058998
pH20_MI_N2_S120_L001,MI,neutral,2,42.25730548,52.1543825
pH20_MI_N3_S129_L001,MI,neutral,3,32.87395076,47.55984402
pH20_MI_N4_S65_L001,MI,neutral,4,32.84521207,47.07952536
pH20_CB_A1_S54_L001,CB,acidic,1,25.05148847,43.17924577
pH20_CB_A2_S9_L001,CB,acidic,2,25.63357428,45.22347818
pH20_CB_A3_S5_L001,CB,acidic,3,27.41952964,45.99807913
pH20_CB_A4_S89_L001,CB,acidic,4,24.6475889,38.12665241
pH20_CB_N1_S24_L001,CB,neutral,1,29.66897473,46.75760381
pH20_CB_N2_S101_L001,CB,neutral,2,22.61464312,41.67977238
pH20_CB_N3_S67_L001,CB,neutral,3,19.1903625,46.0994893
pH20_CB_N4_S59_L001,CB,neutral,4,21.49410291,45.09948936
pH20_NG_A1_S63_L001,NG,acidic,1,27.53210796,44.03971008
pH20_NG_A2_S26_L001,NG,acidic,2,27.90434913,50.31063459
pH20_NG_A3_S3_L001,NG,acidic,3,27.21721836,53.09181502
pH20_NG_A4_S74_L001,NG,acidic,4,27.18448562,47.48978805
pH20_NG_N1_S57_L001,NG,neutral,1,18.77119754,45.73515963
pH20_NG_N2_S37_L001,NG,neutral,2,23.37736865,38.18369658
pH20_NG_N3_S41_L001,NG,neutral,3,24.00570611,44.9402004
pH20_NG_N4_S79_L001,NG,neutral,4,23.55794317,38.79544422
