sampleID,lakeID,class,treatment,replicate,lakeType
ex_blank1_S40_L001,blank,blank,NA,1,NA
ex_blank2_S112_L001,blank,blank,NA,2,NA
ex_blank3_S7_L001,blank,blank,NA,3,NA
ex_blank4_S122_L001,blank,blank,NA,4,NA
ex_blank5_S104_L001,blank,blank,NA,5,NA
ex_blank6_S100_L001,blank,blank,NA,6,NA
pH20_BR_post_S108_L001,BR,post-autoclave,NA,1,NA
pH20_BR_pre_S53_L001,BR,pre-autoclave,NA,1,NA
pH20_CB_A1_S54_L001,CB,experiment,acidic,1,acidic
pH20_CB_A2_S9_L001,CB,experiment,acidic,2,acidic
pH20_CB_A3_S5_L001,CB,experiment,acidic,3,acidic
pH20_CB_A4_S89_L001,CB,experiment,acidic,4,acidic
pH20_CB_I_S32_L001,CB,initial,NA,1,NA
pH20_CB_N1_S24_L001,CB,experiment,neutral,1,acidic
pH20_CB_N2_S101_L001,CB,experiment,neutral,2,acidic
pH20_CB_N3_S67_L001,CB,experiment,neutral,3,acidic
pH20_CB_N4_S59_L001,CB,experiment,neutral,4,acidic
pH20_CN_A1_S93_L001,CN,experiment-control,acidic,1,NA
pH20_CN_A2_S77_L001,CN,experiment-control,acidic,2,NA
pH20_CN_A3_S33_L001,CN,experiment-control,acidic,3,NA
pH20_CN_A4_S45_L001,CN,experiment-control,acidic,4,NA
pH20_CN_N1_S43_L001,CN,experiment-control,neutral,1,NA
pH20_CN_N2_S14_L001,CN,experiment-control,neutral,2,NA
pH20_CN_N3_S103_L001,CN,experiment-control,neutral,3,NA
pH20_CN_N4_S94_L001,CN,experiment-control,neutral,4,NA
pH20_HB_post_S36_L001,HB,post-autoclave,NA,1,NA
pH20_HB_pre_S115_L001,HB,pre-autoclave,NA,1,NA
pH20_MI_A1_S76_L001,MI,experiment,acidic,1,acidic
pH20_MI_A2_S60_L001,MI,experiment,acidic,2,acidic
pH20_MI_A3_S25_L001,MI,experiment,acidic,3,acidic
pH20_MI_A4_S19_L001,MI,experiment,acidic,4,acidic
pH20_MI_I_S106_L001,MI,initial,NA,1,NA
pH20_MI_N1_S86_L001,MI,experiment,neutral,1,acidic
pH20_MI_N2_S120_L001,MI,experiment,neutral,2,acidic
pH20_MI_N3_S129_L001,MI,experiment,neutral,3,acidic
pH20_MI_N4_S65_L001,MI,experiment,neutral,4,acidic
pH20_NG_A1_S63_L001,NG,experiment,acidic,1,acidic
pH20_NG_A2_S26_L001,NG,experiment,acidic,2,acidic
pH20_NG_A3_S3_L001,NG,experiment,acidic,3,acidic
pH20_NG_A4_S74_L001,NG,experiment,acidic,4,acidic
pH20_NG_I_S69_L001,NG,initial,NA,1,NA
pH20_NG_N1_S57_L001,NG,experiment,neutral,1,acidic
pH20_NG_N2_S37_L001,NG,experiment,neutral,2,acidic
pH20_NG_N3_S41_L001,NG,experiment,neutral,3,acidic
pH20_NG_N4_S79_L001,NG,experiment,neutral,4,acidic
pH20_PR_A1_S13_L001,PR,experiment,acidic,1,neutral
pH20_PR_A2_S16_L001,PR,experiment,acidic,2,neutral
pH20_PR_A3_S83_L001,PR,experiment,acidic,3,neutral
pH20_PR_A4_S128_L001,PR,experiment,acidic,4,neutral
pH20_PR_I_S102_L001,PR,initial,NA,1,NA
pH20_PR_N1_S27_L001,PR,experiment,neutral,1,neutral
pH20_PR_N2_S1_L001,PR,experiment,neutral,2,neutral
pH20_PR_N3_S107_L001,PR,experiment,neutral,3,neutral
pH20_PR_N4_S71_L001,PR,experiment,neutral,4,neutral
pH20_RP_A1_S10_L001,RP,experiment,acidic,1,regional
pH20_RP_A2_S135_L001,RP,experiment,acidic,2,regional
pH20_RP_A3_S80_L001,RP,experiment,acidic,3,regional
pH20_RP_A4_S84_L001,RP,experiment,acidic,4,regional
pH20_RP_I_S51_L001,RP,initial,NA,1,NA
pH20_RP_N1_S105_L001,RP,experiment,neutral,1,regional
pH20_RP_N2_S72_L001,RP,experiment,neutral,2,regional
pH20_RP_N3_S118_L001,RP,experiment,neutral,3,regional
pH20_RP_N4_S97_L001,RP,experiment,neutral,4,regional
pH20_TF_A1_S134_L001,TF,experiment,acidic,1,neutral
pH20_TF_A2_S58_L001,TF,experiment,acidic,2,neutral
pH20_TF_A3_S90_L001,TF,experiment,acidic,3,neutral
pH20_TF_A4_S98_L001,TF,experiment,acidic,4,neutral
pH20_TF_I_S78_L001,TF,initial,NA,1,NA
pH20_TF_N1_S23_L001,TF,experiment,neutral,1,neutral
pH20_TF_N2_S126_L001,TF,experiment,neutral,2,neutral
pH20_TF_N3_S119_L001,TF,experiment,neutral,3,neutral
pH20_TF_N4_S99_L001,TF,experiment,neutral,4,neutral
pH20_WA_A1_S18_L001,WA,experiment,acidic,1,neutral
pH20_WA_A2_S15_L001,WA,experiment,acidic,2,neutral
pH20_WA_A3_S4_L001,WA,experiment,acidic,3,neutral
pH20_WA_A4_S48_L001,WA,experiment,acidic,4,neutral
pH20_WA_I_S121_L001,WA,initial,NA,1,NA
pH20_WA_N1_S28_L001,WA,experiment,neutral,1,neutral
pH20_WA_N2_S44_L001,WA,experiment,neutral,2,neutral
pH20_WA_N3_S70_L001,WA,experiment,neutral,3,neutral
pH20_WA_N4_S17_L001,WA,experiment,neutral,4,neutral
